municipio,sinal,motivo,prioridade,acao_sugerida,responsavel,prazo_acao,checklist_operacional,agravo_alvo,exames,positividade,score
NOSSA SENHORA DO LIVRAMENTO,silencio_laboratorial,silencio_critico | exames recentes=0.0 | notif=0.0 | vizinhos em alerta=1,CRÍTICO,Priorizar busca ativa: verificar fluxo de coleta/envio e sensibilizar vigilância municipal em 7 dias.,Vigilância municipal + referência LACEN,7 dias,1) Verificar fluxo GAL/coleta; 2) Conferir casos SINAN sem exame; 3) Sensibilizar SMS; 4) Checar vizinhos em alerta,,0.0,,6.5
SANTO ANTONIO DO LEVERGER,silencio_laboratorial,silencio_critico | exames recentes=0.0 | notif=0.0 | vizinhos em alerta=1,CRÍTICO,Priorizar busca ativa: verificar fluxo de coleta/envio e sensibilizar vigilância municipal em 7 dias.,Vigilância municipal + referência LACEN,7 dias,1) Verificar fluxo GAL/coleta; 2) Conferir casos SINAN sem exame; 3) Sensibilizar SMS; 4) Checar vizinhos em alerta,,0.0,,6.0
CHAPADA DOS GUIMARAES,silencio_laboratorial,silencio_critico | exames recentes=0.0 | notif=0.0 | vizinhos em alerta=1,CRÍTICO,Priorizar busca ativa: verificar fluxo de coleta/envio e sensibilizar vigilância municipal em 7 dias.,Vigilância municipal + referência LACEN,7 dias,1) Verificar fluxo GAL/coleta; 2) Conferir casos SINAN sem exame; 3) Sensibilizar SMS; 4) Checar vizinhos em alerta,,0.0,,5.0
COMODORO,silencio_laboratorial,silencio_critico | exames recentes=0.0 | notif=0.0 | vizinhos em alerta=1,CRÍTICO,Priorizar busca ativa: verificar fluxo de coleta/envio e sensibilizar vigilância municipal em 7 dias.,Vigilância municipal + referência LACEN,7 dias,1) Verificar fluxo GAL/coleta; 2) Conferir casos SINAN sem exame; 3) Sensibilizar SMS; 4) Checar vizinhos em alerta,,0.0,,5.0
JANGADA,silencio_laboratorial,silencio_critico | exames recentes=0.0 | notif=0.0 | vizinhos em alerta=2,CRÍTICO,Priorizar busca ativa: verificar fluxo de coleta/envio e sensibilizar vigilância municipal em 7 dias.,Vigilância municipal + referência LACEN,7 dias,1) Verificar fluxo GAL/coleta; 2) Conferir casos SINAN sem exame; 3) Sensibilizar SMS; 4) Checar vizinhos em alerta,,0.0,,5.0
LUCAS DO RIO VERDE,silencio_laboratorial,silencio_critico | exames recentes=0.0 | notif=0.0 | vizinhos em alerta=1,CRÍTICO,Priorizar busca ativa: verificar fluxo de coleta/envio e sensibilizar vigilância municipal em 7 dias.,Vigilância municipal + referência LACEN,7 dias,1) Verificar fluxo GAL/coleta; 2) Conferir casos SINAN sem exame; 3) Sensibilizar SMS; 4) Checar vizinhos em alerta,,0.0,,5.0
NOBRES,silencio_laboratorial,silencio_critico | exames recentes=0.0 | notif=0.0 | vizinhos em alerta=1,CRÍTICO,Priorizar busca ativa: verificar fluxo de coleta/envio e sensibilizar vigilância municipal em 7 dias.,Vigilância municipal + referência LACEN,7 dias,1) Verificar fluxo GAL/coleta; 2) Conferir casos SINAN sem exame; 3) Sensibilizar SMS; 4) Checar vizinhos em alerta,,0.0,,5.0
PORTO ESTRELA,silencio_laboratorial,silencio_critico | exames recentes=0.0 | notif=0.0 | vizinhos em alerta=2,CRÍTICO,Priorizar busca ativa: verificar fluxo de coleta/envio e sensibilizar vigilância municipal em 7 dias.,Vigilância municipal + referência LACEN,7 dias,1) Verificar fluxo GAL/coleta; 2) Conferir casos SINAN sem exame; 3) Sensibilizar SMS; 4) Checar vizinhos em alerta,,0.0,,5.0
SAO JOSE DOS QUATRO MARCOS,silencio_laboratorial,silencio_critico | exames recentes=0.0 | notif=0.0 | vizinhos em alerta=1,CRÍTICO,Priorizar busca ativa: verificar fluxo de coleta/envio e sensibilizar vigilância municipal em 7 dias.,Vigilância municipal + referência LACEN,7 dias,1) Verificar fluxo GAL/coleta; 2) Conferir casos SINAN sem exame; 3) Sensibilizar SMS; 4) Checar vizinhos em alerta,,0.0,,5.0
CASSILANDIA,alerta_laboratorial,Aumento relevante de positividade,CRÍTICO,Ativar busca ativa de TB e validar fluxo de coleta/envio ao LACEN em até 48h.,Vigilância municipal de TB + LACEN,48h,1) Confirmar amostra no GAL; 2) Articular busca de sintomáticos; 3) Verificar baciloscopia/LF-LAM pendentes,tuberculose_lf_lam,1.0,1.0,4.0
