exame,metodologia,agravo_requisicao,n_registros,marcador,classe,conta_alerta_agudo,conta_bortman,conta_positividade_agregada,validacao_ms,fonte,nota_pt
"Tuberculose, Teste Rápido Molecular",PCR em Tempo Real,TUBERCULOSE,3040,TRM_TB,molecular_presenca_ausencia,true,true,true,ok,Guia MS / notificaveis_resumo / Positividade_Por_Agravo_GAL,TRM-TB: confirmação molecular — sinal laboratorial ativo (MS/PNCT).
Vírus Respiratórios,RT-PCR em tempo real,COVID-19,1546,painel_respiratorio,molecular_presenca_ausencia,true,true,true,parcial,Guia MS / notificaveis_resumo / Positividade_Por_Agravo_GAL,Vírus respiratórios/influenza: presença/ausência — não declarar epidemia só com positividade.
Pesquisa de Arbovírus (ZDC),RT-PCR em tempo real,DENGUE,1380,PCR_arbovirose,molecular_presenca_ausencia,true,true,true,ok,Guia MS / notificaveis_resumo / Positividade_Por_Agravo_GAL,Painel arbovírus (ZDC): presença/ausência — confirmação laboratorial.
"Oropouche, Biologia Molecular",RT-PCR em tempo real,DENGUE,1218,molecular,molecular_presenca_ausencia,true,true,true,ok,Guia MS / notificaveis_resumo / Positividade_Por_Agravo_GAL,Molecular Oropouche: presença/ausência do agente.
"Mayaro, Biologia Molecular",RT-PCR em tempo real,DENGUE,1213,molecular,molecular_presenca_ausencia,true,true,true,ok,Guia MS / notificaveis_resumo / Positividade_Por_Agravo_GAL,Molecular Mayaro: presença/ausência do agente.
"Encefalite Saint Louis, Biologia Molecular",RT-PCR em tempo real,DENGUE,1192,molecular,molecular_presenca_ausencia,true,true,true,ok,Guia MS / notificaveis_resumo / Positividade_Por_Agravo_GAL,Molecular Encefalite Saint Louis: presença/ausência do agente.
"Febre do Nilo Ocidental, Biologia Molecular",RT-PCR em tempo real,DENGUE,1189,molecular,molecular_presenca_ausencia,true,true,true,ok,Guia MS / notificaveis_resumo / Positividade_Por_Agravo_GAL,Molecular Febre do Nilo Ocidental: presença/ausência do agente.
"Tuberculose, Baciloscopia",Coloração de Ziehl-Neelsen,TUBERCULOSE,874,BAAR,sinal_agudo_ou_ativo,true,true,true,ok,Guia MS / notificaveis_resumo / Positividade_Por_Agravo_GAL,BAAR/baciloscopia: bacilífero potencial — cruzar com SINAN.
"Hepatite B, Pesquisa quantitativa do DNA HBV",PCR em Tempo Real,HEPATITES VIRAIS,808,HBV_DNA,molecular_presenca_ausencia,true,true,true,ok,Guia MS / notificaveis_resumo / Positividade_Por_Agravo_GAL,HBV-DNA: presença/ausência do vírus — confirmatório de replicação.
"Dengue, IgM",Enzimaimunoensaio,DENGUE,730,IgM,sinal_agudo_ou_ativo,true,true,true,ok,Guia MS / notificaveis_resumo / Positividade_Por_Agravo_GAL,IgM dengue: infecção recente — sinal para investigação.
"Chikungunya, IgG",Enzimaimunoensaio,DENGUE,620,IgG,nao_agudo_soroprevalencia,false,false,false,ok,Guia MS / notificaveis_resumo / Positividade_Por_Agravo_GAL,IgG chikungunya: exposição pretérita — não alerta agudo isolado.
"Chikungunya, IgM",Enzimaimunoensaio,DENGUE,602,IgM,sinal_agudo_ou_ativo,true,true,true,ok,Guia MS / notificaveis_resumo / Positividade_Por_Agravo_GAL,IgM chikungunya: infecção recente — sinal ativo.
"Tuberculose, Cultura",Cultura,TUBERCULOSE,597,cultura_TB,sinal_agudo_ou_ativo,true,true,true,ok,Guia MS / notificaveis_resumo / Positividade_Por_Agravo_GAL,Cultura para micobactérias: padrão-ouro confirmatório.
"Zika,IgG",Enzimaimunoensaio,DENGUE,266,IgG,nao_agudo_soroprevalencia,false,false,false,ok,Guia MS / notificaveis_resumo / Positividade_Por_Agravo_GAL,IgG zika: soroprevalência — não alerta agudo isolado.
"Zika,IgM",Enzimaimunoensaio,DENGUE,264,IgM,sinal_agudo_ou_ativo,true,true,true,ok,Guia MS / notificaveis_resumo / Positividade_Por_Agravo_GAL,IgM zika: infecção recente — sinal para investigação.
Hanseníase,Coloração de Ziehl-Neelsen,HANSENÍASE,264,BAAR_hanseniase,sinal_agudo_ou_ativo,true,true,true,ok,Guia MS / notificaveis_resumo / Positividade_Por_Agravo_GAL,Baciloscopia hanseníase: sinal laboratorial ativo — VE/SINAN.
Raiva,SFIMT ( Simplified Fluorescence Inhibition Microtest),RAIVA,200,raiva,sinal_agudo_ou_ativo,true,true,true,ok,Guia MS / notificaveis_resumo / Positividade_Por_Agravo_GAL,Raiva: qualquer positivo prioriza investigação imediata (não declarar surto só com lab).
"Hepatite C, Pesquisa quantitativa do RNA HCV",RT-PCR em tempo real,HEPATITES VIRAIS,162,HCV_RNA,molecular_presenca_ausencia,true,true,true,ok,Guia MS / notificaveis_resumo / Positividade_Por_Agravo_GAL,RNA HCV: presença/ausência do vírus — confirma infecção ativa.
Pesquisa de Multipatógenos IST,PCR em Tempo Real,DOENÇAS SEXUALMENTE TRANSMITIDAS,140,PCR_IST,molecular_presenca_ausencia,true,true,true,parcial,Guia MS / notificaveis_resumo / Positividade_Por_Agravo_GAL,Multiplex IST: presença de patógeno — investigar caso a caso (não epidemia agregada).
Tuberculose,Enzimaimunoensaio,TUBERCULOSE,132,sorologia_TB,indeterminado,false,false,false,parcial,revisar_area_tecnica — sem definição aguda inequívoca no nome,Ensaio sorológico TB: não substitui BAAR/TRM/cultura para alerta epidêmico.
"Chagas, IgG",Enzimaimunoensaio,DOENÇA DE CHAGAS,118,IgG,nao_agudo_soroprevalencia,false,false,false,ok,Guia MS / notificaveis_resumo / Positividade_Por_Agravo_GAL,Chagas IgG: infecção crônica/passada frequente — não alerta agudo isolado.
Chagas,Imunoensaio de Micropartículas por Quimioluminescência,DOENÇA DE CHAGAS,118,sorologia_chagas,nao_agudo_soroprevalencia,false,false,false,parcial,Guia MS / notificaveis_resumo / Positividade_Por_Agravo_GAL,Sorologia Chagas (triagem): cicatriz/crônica possível — confirmar algoritmo MS.
Fungos,Micológico Direto,TUBERCULOSE,113,micologico,indeterminado,false,false,false,parcial,revisar_area_tecnica — sem definição aguda inequívoca no nome,Micológico direto/cultura: apoio diagnóstico — não alerta epidêmico CIEVS padrão.
Cultura para Fungos,Cultura para Fungos,TUBERCULOSE,100,micologico,indeterminado,false,false,false,parcial,revisar_area_tecnica — sem definição aguda inequívoca no nome,Micológico direto/cultura: apoio diagnóstico — não alerta epidêmico CIEVS padrão.
"Toxoplasmose, IgG",Imunoensaio de Micropartículas por Quimioluminescência,TOXOPLASMOSE,98,IgG,nao_agudo_soroprevalencia,false,false,false,ok,Guia MS / notificaveis_resumo / Positividade_Por_Agravo_GAL,Toxo IgG: contato passado — não alerta agudo isolado.
"Hepatite C, Anti HCV",Imunoensaio de Micropartículas por Quimioluminescência,HEPATITES VIRAIS,98,anti_HCV,nao_agudo_soroprevalencia,false,false,false,ok,Guia MS / notificaveis_resumo / Positividade_Por_Agravo_GAL,Anti-HCV: exposição/cicatriz possível — não alerta agudo sem RNA/clínica.
"Toxoplasmose, IgM",Imunoensaio de Micropartículas por Quimioluminescência,TOXOPLASMOSE,98,IgM,sinal_agudo_ou_ativo,true,true,true,ok,Guia MS / notificaveis_resumo / Positividade_Por_Agravo_GAL,Toxo IgM: possível infecção recente — confirmar avididade/clínica.
"Meningite Bacteriana, Biologia Molecular",PCR em Tempo Real,MENINGITE,89,PCR_cultura_LCR,molecular_presenca_ausencia,true,true,true,ok,Guia MS / notificaveis_resumo / Positividade_Por_Agravo_GAL,PCR/cultura LCR: confirmação etiológica — investigar se agregação.
"Hepatite B, Anti HBe",Imunoensaio de Micropartículas por Quimioluminescência,HEPATITES VIRAIS,82,anti_HBe,indeterminado,false,false,false,parcial,revisar_area_tecnica — sem definição aguda inequívoca no nome,Anti-HBe: fase da infecção — interpretar no painel completo (não alerta isolado).
"Hepatite B, Anti HBs",Imunoensaio de Micropartículas por Quimioluminescência,HEPATITES VIRAIS,82,anti_HBs,nao_agudo_soroprevalencia,false,false,false,ok,Guia MS / notificaveis_resumo / Positividade_Por_Agravo_GAL,Anti-HBs: imunidade vacinal ou contato passado — não infecção aguda.
"Hepatite B, HBeAg",Imunoensaio de Micropartículas por Quimioluminescência,HEPATITES VIRAIS,82,HBeAg,sinal_agudo_ou_ativo,true,false,true,ok,Guia MS / notificaveis_resumo / Positividade_Por_Agravo_GAL,HBeAg: marcador de replicação — contextualizar com DNA e clínica.
"Hepatite B, Anti HBc Total",Imunoensaio de Micropartículas por Quimioluminescência,HEPATITES VIRAIS,82,anti_HBc_total,nao_agudo_soroprevalencia,false,false,false,ok,Guia MS / notificaveis_resumo / Positividade_Por_Agravo_GAL,Anti-HBc total: contato passado/crônico — não basta sozinho para alerta agudo.
"Hepatite B, HBsAg",Imunoensaio de Micropartículas por Quimioluminescência,HEPATITES VIRAIS,82,HBsAg,sinal_agudo_ou_ativo,true,true,true,ok,Guia MS / notificaveis_resumo / Positividade_Por_Agravo_GAL,"HBsAg: infecção ativa (aguda ou crônica) — cruzar com IgM, DNA e notificação."
"Hepatite B, Anti HBc - IgM",Imunoensaio de Micropartículas por Quimioluminescência,HEPATITES VIRAIS,82,anti_HBc_IgM,sinal_agudo_ou_ativo,true,true,true,ok,Guia MS / notificaveis_resumo / Positividade_Por_Agravo_GAL,Anti-HBc IgM: marcador de infecção aguda (ou reativação) — sinal para a VE.
"Hanseníase, Teste de Sensibilidade Genotípico",Hibridação com sonda em linha (LPA),HANSENÍASE,81,TSA_hanseniase,indeterminado,false,false,false,parcial,revisar_area_tecnica — sem definição aguda inequívoca no nome,Sensibilidade genotípica hanseníase: operacional — não epidemia.
Meningite,Cultura,MENINGITE,81,PCR_cultura_LCR,molecular_presenca_ausencia,true,true,true,ok,Guia MS / notificaveis_resumo / Positividade_Por_Agravo_GAL,PCR/cultura LCR: confirmação etiológica — investigar se agregação.
"Tuberculose, Teste de Sensibilidade",Teste de Sensibilidade,TUBERCULOSE,69,TSA_TB,indeterminado,false,false,false,parcial,revisar_area_tecnica — sem definição aguda inequívoca no nome,Teste de sensibilidade TB: resultado operacional — não taxa de epidemia.
"Tuberculose, LF-LAM",Imunocromatografia,TUBERCULOSE,68,LF_LAM,sinal_agudo_ou_ativo,true,true,true,parcial,Guia MS / notificaveis_resumo / Positividade_Por_Agravo_GAL,LF-LAM: antígeno urinário — sinal auxiliar em TB (contextualizar).
"Hantavírus, IgM",Enzimaimunoensaio,HANTAVIROSE,68,IgM,sinal_agudo_ou_ativo,true,true,true,ok,Guia MS / notificaveis_resumo / Positividade_Por_Agravo_GAL,IgM Hantavirose: infecção recente — sinal para a VE.
"Hantavírus, IgG",Enzimaimunoensaio,HANTAVIROSE,65,IgG,nao_agudo_soroprevalencia,false,false,false,ok,Guia MS / notificaveis_resumo / Positividade_Por_Agravo_GAL,IgG Hantavirose: soroprevalência — não alerta agudo isolado.
"Citomegalovírus, IgM",Imunoensaio de Micropartículas por Quimioluminescência,TOXOPLASMOSE,51,IgM,sinal_agudo_ou_ativo,true,false,true,ok,Guia MS / notificaveis_resumo / Positividade_Por_Agravo_GAL,CMV IgM: possível infecção recente — contextualizar.
"Citomegalovírus, IgG",Imunoensaio de Micropartículas por Quimioluminescência,TOXOPLASMOSE,51,IgG,nao_agudo_soroprevalencia,false,false,false,ok,Guia MS / notificaveis_resumo / Positividade_Por_Agravo_GAL,CMV IgG: soroprevalência — não alerta agudo isolado.
"Leishmaniose Visceral Humana, Teste Rápido",Imunocromatografia,LEISHMANIOSE VISCERAL,47,sorologia_LV,sinal_agudo_ou_ativo,true,true,true,parcial,Guia MS / notificaveis_resumo / Positividade_Por_Agravo_GAL,Sorologia/TR LV: sinal laboratorial — cruzar clínica/SINAN (não surto automático).
"Hepatite A, Anti HAV - IgM",Imunoensaio de Micropartículas por Quimioluminescência,HEPATITES VIRAIS,47,anti_HAV_IgM,sinal_agudo_ou_ativo,true,true,true,ok,Guia MS / notificaveis_resumo / Positividade_Por_Agravo_GAL,Anti-HAV IgM: compatível com hepatite A aguda — sinal para a VE.
"Hepatite A, Anti HAV - IgG",Imunoensaio de Micropartículas por Quimioluminescência,HEPATITES VIRAIS,46,anti_HAV_IgG,nao_agudo_soroprevalencia,false,false,false,ok,Guia MS / notificaveis_resumo / Positividade_Por_Agravo_GAL,Anti-HAV IgG: imunidade/contato passado — não alerta agudo.
Colinesterase Plasmática,Teste Fotométrico Cinético,RAIVA,44,colinesterase,indeterminado,false,false,false,parcial,revisar_area_tecnica — sem definição aguda inequívoca no nome,"Colinesterase: marcador de exposição a organofosforados — VE toxicológica, não epidemia infecciosa."
"Meningite, Microscopia",Coloração de Gram,MENINGITE,42,microscopia_LCR,sinal_agudo_ou_ativo,true,false,true,parcial,Guia MS / notificaveis_resumo / Positividade_Por_Agravo_GAL,Microscopia/Gram de LCR: sinal laboratorial — investigar com PCR/cultura.
Paracoccidioidomicose,Imunodifusão Radial Dupla,PARACOCCIDIOIDOMICOSE,41,sorologia_micose,sinal_agudo_ou_ativo,true,false,true,parcial,Guia MS / notificaveis_resumo / Positividade_Por_Agravo_GAL,Sorologia micose profunda: sinal — investigar casos (não % epidêmica).
"Herpes Vírus, Biologia Molecular",PCR – Reação em Cadeia de Polimerase,HERPES SIMPLES,38,PCR_HSV,molecular_presenca_ausencia,true,false,true,parcial,Guia MS / notificaveis_resumo / Positividade_Por_Agravo_GAL,"HSV molecular: presença — caso clínico, não epidemia agregada típica."
"Vírus, Biologia Molecular",Sequenciamento,DENGUE,35,molecular,molecular_presenca_ausencia,true,true,true,parcial,Guia MS / notificaveis_resumo / Positividade_Por_Agravo_GAL,"Molecular (Vírus, Biologia Molecular): presença/ausência do agente — confirmação laboratorial."
Varíola,PCR em Tempo Real,VARÍOLA,35,PCR_variola,molecular_presenca_ausencia,true,true,true,ok,Guia MS / notificaveis_resumo / Positividade_Por_Agravo_GAL,Varíola PCR: evento de alto impacto — 1 detectável prioriza resposta (não declarar sozinho).
"Leptospirose,  IgM",Enzimaimunoensaio,LEPTOSPIROSE,35,IgM,sinal_agudo_ou_ativo,true,true,true,ok,Guia MS / notificaveis_resumo / Positividade_Por_Agravo_GAL,Leptospirose IgM: infecção recente possível — confirmar MAT/clínica.
"Criptococos, Teste Rápido",Imunocromatografia,CRIPTOCOCOSE,33,antigeno_criptococo,sinal_agudo_ou_ativo,true,false,true,parcial,Guia MS / notificaveis_resumo / Positividade_Por_Agravo_GAL,Criptococo TR: sinal clínico-laboratorial — não epidemia comunitária típica.
"Bactérias, Cultura",Cultura,TUBERCULOSE,33,cultura_bacteriana,indeterminado,false,false,false,parcial,revisar_area_tecnica — sem definição aguda inequívoca no nome,Cultura/ID bacteriana: operacional/assistencial — fora do cartão epidemia CIEVS.
Histoplasmose,Imunodifusão Radial Dupla,HISTOPLASMOSE,32,sorologia_micose,sinal_agudo_ou_ativo,true,false,true,parcial,Guia MS / notificaveis_resumo / Positividade_Por_Agravo_GAL,Sorologia micose profunda: sinal — investigar casos (não % epidêmica).
"Varicela Zoster, Biologia Molecular",PCR em Tempo Real,VARÍOLA,27,PCR_VZV,molecular_presenca_ausencia,true,true,true,parcial,Guia MS / notificaveis_resumo / Positividade_Por_Agravo_GAL,Varicela/VZV molecular: presença do agente — contextualizar surto institucional.
"Hanseníase, Biologia Molecular",PCR em Tempo Real,HANSENÍASE,19,PCR_hanseniase,molecular_presenca_ausencia,true,true,true,ok,Guia MS / notificaveis_resumo / Positividade_Por_Agravo_GAL,PCR hanseníase: presença do agente — cruzar com clínica/SINAN.
"Fungos, Teste de Sensibilidade",Teste de Sensibilidade,TUBERCULOSE,18,TSA_fungos,indeterminado,false,false,false,parcial,revisar_area_tecnica — sem definição aguda inequívoca no nome,TSA fungos: operacional — fora do Radar epidêmico.
"Bactérias, Teste de Sensibilidade",Teste de Sensibilidade,INFECÇÃO/COLONIZAÇÃO,15,resistencia,indeterminado,false,false,false,parcial,revisar_area_tecnica — sem definição aguda inequívoca no nome,Resistência antimicrobiana: vigilância hospitalar — não % epidêmica municipal.
HIV,Immunoblot,HIV,11,HIV,sinal_agudo_ou_ativo,true,false,true,parcial,Guia MS / notificaveis_resumo / Positividade_Por_Agravo_GAL,HIV (triagem/confirmação): caso a caso — não usar % para epidemia municipal no Radar.
HIV,Imunoensaio de Micropartículas por Quimioluminescência,HIV,11,HIV,sinal_agudo_ou_ativo,true,false,true,parcial,Guia MS / notificaveis_resumo / Positividade_Por_Agravo_GAL,HIV (triagem/confirmação): caso a caso — não usar % para epidemia municipal no Radar.
"Brucelose, IgM",Enzimaimunoensaio,BRUCELOSE,10,IgM_ou_RB,sinal_agudo_ou_ativo,true,true,true,parcial,Guia MS / notificaveis_resumo / Positividade_Por_Agravo_GAL,Brucelose IgM/Rosa Bengala: sinal — confirmar e notificar.
"Brucelose, IgG",Enzimaimunoensaio,BRUCELOSE,10,IgG,nao_agudo_soroprevalencia,false,false,false,ok,Guia MS / notificaveis_resumo / Positividade_Por_Agravo_GAL,Brucelose IgG: exposição passada possível — não alerta agudo isolado.
Brucelose,Coloração de Rosa Bengala,BRUCELOSE,10,IgM_ou_RB,sinal_agudo_ou_ativo,true,true,true,parcial,Guia MS / notificaveis_resumo / Positividade_Por_Agravo_GAL,Brucelose IgM/Rosa Bengala: sinal — confirmar e notificar.
Sífilis,Imunoensaio de Micropartículas por Quimioluminescência,SÍFILIS,9,sifilis,sinal_agudo_ou_ativo,true,false,true,parcial,Guia MS / notificaveis_resumo / Positividade_Por_Agravo_GAL,Sífilis: reagente exige algoritmo (não-treponêmico/treponêmico) — VE/APS.
"Toxoplasmose, Avidez IgG",Enzimaimunoensaio,TOXOPLASMOSE,8,avidez_IgG,indeterminado,false,false,false,parcial,revisar_area_tecnica — sem definição aguda inequívoca no nome,Avidez IgG toxo: diferencia infecção recente vs antiga — interpretar com IgM.
Pesquisa de Genes de Resistência,PCR – Reação em Cadeia de Polimerase,INFECÇÃO/COLONIZAÇÃO,7,resistencia,indeterminado,false,false,false,parcial,revisar_area_tecnica — sem definição aguda inequívoca no nome,Resistência antimicrobiana (carbapenemases/genes): vigilância hospitalar — não % epidêmica municipal.
"Febre do Nilo Ocidental, IgM",Enzimaimunoensaio,FEBRE DO NILO OCIDENTAL,7,IgM,sinal_agudo_ou_ativo,true,true,true,ok,Guia MS / notificaveis_resumo / Positividade_Por_Agravo_GAL,IgM Febre do Nilo Ocidental: infecção recente — sinal para a VE.
Aspergilose,Imunodifusão Radial Dupla,PARACOCCIDIOIDOMICOSE,7,sorologia_micose,sinal_agudo_ou_ativo,true,false,true,parcial,Guia MS / notificaveis_resumo / Positividade_Por_Agravo_GAL,Sorologia micose profunda: sinal — investigar casos (não % epidêmica).
"Bactérias, Cultura",Hemocultura,MENINGITE,7,cultura_bacteriana,indeterminado,false,false,false,parcial,revisar_area_tecnica — sem definição aguda inequívoca no nome,Cultura/ID bacteriana: operacional/assistencial — fora do cartão epidemia CIEVS.
"HTLV I/II, Vírus Linfotrópico Humano tipo I e II",Imunoensaio de Micropartículas por Quimioluminescência,HTLV,7,HTLV,nao_agudo_soroprevalencia,false,false,false,parcial,Guia MS / notificaveis_resumo / Positividade_Por_Agravo_GAL,HTLV: infecção crônica/triagem — não alerta agudo epidêmico.
"Varicela, Biologia Molecular",PCR – Reação em Cadeia de Polimerase,DENGUE,6,PCR_VZV,molecular_presenca_ausencia,true,true,true,parcial,Guia MS / notificaveis_resumo / Positividade_Por_Agravo_GAL,Varicela/VZV molecular: presença do agente — contextualizar surto institucional.
"Febre Amarela, Biologia Molecular",RT-PCR em tempo real,DENGUE,6,molecular,molecular_presenca_ausencia,true,true,true,ok,Guia MS / notificaveis_resumo / Positividade_Por_Agravo_GAL,Molecular Febre Amarela: presença/ausência do agente.
