se,evento,agravo,familia,municipio,probabilidade,impacto,confianca,veredito,tipo_sinal,score,regras,exames,positivos,positividade,delta_pct,taxa_exames_100k,taxa_positivos_100k,taxa_notif_100k,frase_taxa_positivos,internacoes_sih,zona_bortman,acao_cievs,acao_ve_mun,acao_area_tecnica,acao_vizinhos,acao_lacen
2026-SE36,dengue × VARZEA GRANDE,dengue,dengue,VARZEA GRANDE,alto,alto,Derivado,investigar,Derivado,14.5,cluster vizinhos (n=3); internações SIH n=9; lacuna GAL sem notificação SINAN,50,0,0,-1.8779,15.6778,0,,"0,0 positivos por 100 mil habitantes",9,sucesso,"Priorizar investigação de dengue em VARZEA GRANDE: cruzar lab × notificação, avaliar definição de caso e comunicação com VE municipal.",Investigar casos/contatos de dengue em VARZEA GRANDE; verificar oportunidade de notificação e busca ativa.,Validar critérios clínico-laboratoriais de dengue; orientar rede sobre definição de caso.,Alerta coordenado aos municípios vizinhos com sinal de dengue.,Apoiar dengue: priorizar TAT/confirmação se fila impactar a VE deste agravo; comunicar resultados críticos à VE/CIEVS.
2026-SE36,tuberculose × CUIABA,tuberculose,tuberculose,CUIABA,alto,médio,Derivado,investigar,Derivado,11.9,4 positivos na SE; cluster vizinhos (n=4); lacuna GAL sem notificação SINAN,123,4,0.0325,-11.4719,17.7778,0.5781,,"0,6 positivos por 100 mil habitantes",,volume_insuficiente,"Priorizar investigação de tuberculose em CUIABA: cruzar lab × notificação, avaliar definição de caso e comunicação com VE municipal.",Investigar casos/contatos de tuberculose em CUIABA; verificar oportunidade de notificação e busca ativa.,Validar critérios clínico-laboratoriais de tuberculose; orientar rede sobre definição de caso.,Alerta coordenado aos municípios vizinhos com sinal de tuberculose.,Apoiar tuberculose: priorizar TAT/confirmação se fila impactar a VE deste agravo; comunicar resultados críticos à VE/CIEVS.
2026-SE36,tuberculose × CHAPADA DOS GUIMARAES,tuberculose,tuberculose,CHAPADA DOS GUIMARAES,médio,médio,Derivado,monitorar,Derivado,8.5,cluster vizinhos (n=2); lacuna GAL sem notificação SINAN,7,0,,,,,,,,sem_dado,Manter tuberculose em CHAPADA DOS GUIMARAES sob monitoramento na sala de situação; revisar na próxima SE.,Acompanhar tendência de tuberculose em CHAPADA DOS GUIMARAES; reforçar notificação oportuna se houver suspeitos.,Acompanhar positividade/demanda de tuberculose; alertar se persistir alta.,Informar vizinhos sobre co-sinal de tuberculose (monitoramento).,Apoiar tuberculose: priorizar TAT/confirmação se fila impactar a VE deste agravo; comunicar resultados críticos à VE/CIEVS.
2026-SE36,tuberculose × TANGARA DA SERRA,tuberculose,tuberculose,TANGARA DA SERRA,médio,médio,Derivado,monitorar,Derivado,8.5,cluster vizinhos (n=2); lacuna GAL sem notificação SINAN,43,0,0,-11.4719,37.5208,0,,"0,0 positivos por 100 mil habitantes",,sem_dado,Manter tuberculose em TANGARA DA SERRA sob monitoramento na sala de situação; revisar na próxima SE.,Acompanhar tendência de tuberculose em TANGARA DA SERRA; reforçar notificação oportuna se houver suspeitos.,Acompanhar positividade/demanda de tuberculose; alertar se persistir alta.,Informar vizinhos sobre co-sinal de tuberculose (monitoramento).,Apoiar tuberculose: priorizar TAT/confirmação se fila impactar a VE deste agravo; comunicar resultados críticos à VE/CIEVS.
2026-SE36,tuberculose × VARZEA GRANDE,tuberculose,tuberculose,VARZEA GRANDE,médio,médio,Derivado,monitorar,Derivado,8.5,cluster vizinhos (n=4); lacuna GAL sem notificação SINAN,50,0,0,-11.4719,15.6778,0,,"0,0 positivos por 100 mil habitantes",,volume_insuficiente,Manter tuberculose em VARZEA GRANDE sob monitoramento na sala de situação; revisar na próxima SE.,Acompanhar tendência de tuberculose em VARZEA GRANDE; reforçar notificação oportuna se houver suspeitos.,Acompanhar positividade/demanda de tuberculose; alertar se persistir alta.,Informar vizinhos sobre co-sinal de tuberculose (monitoramento).,Apoiar tuberculose: priorizar TAT/confirmação se fila impactar a VE deste agravo; comunicar resultados críticos à VE/CIEVS.
2026-SE36,dengue × CUIABA,dengue,dengue,CUIABA,médio,médio,Derivado,monitorar,Derivado,8.4,par vizinho com positivos; internações SIH n=13; lacuna GAL sem notificação SINAN,30,0,0,-1.8779,4.336,0,,"0,0 positivos por 100 mil habitantes",13,sucesso,Manter dengue em CUIABA sob monitoramento na sala de situação; revisar na próxima SE.,Acompanhar tendência de dengue em CUIABA; reforçar notificação oportuna se houver suspeitos.,Acompanhar positividade/demanda de dengue; alertar se persistir alta.,Informar vizinhos sobre co-sinal de dengue (monitoramento).,Apoiar dengue: priorizar TAT/confirmação se fila impactar a VE deste agravo; comunicar resultados críticos à VE/CIEVS.
2026-SE36,chikungunya × NOVA UBIRATA,chikungunya,chikungunya,NOVA UBIRATA,baixo,baixo,Derivado,sinal lab — não declarar surto,Derivado,1,lacuna GAL sem notificação SINAN,8,0,,,,,,,,sem_dado,Registrar sinal lab de chikungunya em NOVA UBIRATA sem declaração de surto; aguardar convergência com notificação/clínica.,Não declarar surto por sinal lab isolado de chikungunya; investigar se houver casos clínicos.,,,
2026-SE36,hansen_ase_hansen_ase × CUIABA,hansen_ase_hansen_ase,hansen_ase_hansen_ase,CUIABA,baixo,baixo,Derivado,sinal lab — não declarar surto,Derivado,1,lacuna GAL sem notificação SINAN,17,0,,,,,,,,sem_dado,Registrar sinal lab de hansen_ase_hansen_ase em CUIABA sem declaração de surto; aguardar convergência com notificação/clínica.,Não declarar surto por sinal lab isolado de hansen_ase_hansen_ase; investigar se houver casos clínicos.,,,
2026-SE36,hansen_ase_hansen_ase_teste_de_sensibilidade_genot_pico × LUCAS DO RIO VERDE,hansen_ase_hansen_ase_teste_de_sensibilidade_genot_pico,hansen_ase_hansen_ase_teste_de_sensibilidade_genot_pico,LUCAS DO RIO VERDE,baixo,baixo,Derivado,sinal lab — não declarar surto,Derivado,1,lacuna GAL sem notificação SINAN,6,0,,,,,,,,sem_dado,Registrar sinal lab de hansen_ase_hansen_ase_teste_de_sensibilidade_genot_pico em LUCAS DO RIO VERDE sem declaração de surto; aguardar convergência com notificação/clínica.,Não declarar surto por sinal lab isolado de hansen_ase_hansen_ase_teste_de_sensibilidade_genot_pico; investigar se houver casos clínicos.,,,
2026-SE36,hansen_ase_hansen_ase_teste_de_sensibilidade_genot_pico × SINOP,hansen_ase_hansen_ase_teste_de_sensibilidade_genot_pico,hansen_ase_hansen_ase_teste_de_sensibilidade_genot_pico,SINOP,baixo,baixo,Derivado,sinal lab — não declarar surto,Derivado,1,lacuna GAL sem notificação SINAN,8,0,,,,,,,,sem_dado,Registrar sinal lab de hansen_ase_hansen_ase_teste_de_sensibilidade_genot_pico em SINOP sem declaração de surto; aguardar convergência com notificação/clínica.,Não declarar surto por sinal lab isolado de hansen_ase_hansen_ase_teste_de_sensibilidade_genot_pico; investigar se houver casos clínicos.,,,
